keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Victoria's Secret,Palo Alto,1,01 #1,180 El Camino Real,NV,89109
Victoria's Secret,Cupertino,3,03 #3,10123 N Wolfe Road,FL,33172
Victoria's Secret,Walnut Creek,5,05 #5,1281 Broadway Plaza,CA,95123
Victoria's Secret,Los Angeles,6,06 #6,8500 Beverly Boulevard,MI,48326
Victoria's Secret,Chestnut Hill,7,07 #7,199 Boylston Street,NJ,7202
Victoria's Secret,Short Hills,9,09 #9,1200 Morris Turnpike,AZ,85345
Victoria's Secret,Schaumburg,11,011 #11,134 Woodfield Drive,FL,33543
Victoria's Secret,Dallas,12,012 #12,13350 Dallas Parkway,CA,94513
Victoria's Secret,Columbus,14,014 #14,2747 Eastland Mall,AZ,85282
Victoria's Secret,San Diego,16,016 #16,7007 Friar's Road,PA,19154
Victoria's Secret,Hackensack,19,019 #19,1 Riverside Square,OH,43240
Victoria's Secret,Fairfax,20,020 #20,11823 Fair Oaks Mall,IL,60031
Victoria's Secret,Monroeville,23,023 #23,214 Monroeville Mall,FL,32819
Victoria's Secret,Vernon Hills,24,024 #24,410/411 Hawthorne Center,NY,11901
Victoria's Secret,Mc Lean,25,025 #25,1961 Chain Bridge Road,FL,33189
Victoria's Secret,Willow Grove,27,027 #27,2500 Moreland Road,TX,78666
Victoria's Secret,Upper St. Clair,28,028 #28,301 South Hills Village,OH,44070
Victoria's Secret,Burlington,30,030 #30,75 Middlesex Turnpike,CA,90017
Victoria's Secret,Bloomingdale,33,033 #33,219 Stratford Square,TX,78216
Victoria's Secret,Miami,34,034 #34,8888 SW 136Th Street,FL,34103
Victoria's Secret,Paramus,35,035 #35,1 Garden State Plaza,FL,32607
Victoria's Secret,Humble,36,036 #36,20131 Highway 59,CA,94304
Victoria's Secret,Friendswood,37,037 #37,500 Baybrook Mall,CA,95014
Victoria's Secret,San Diego,39,039 #39,4353 La Jolla Village Drive,CA,94596
Victoria's Secret,Sterling Heights,40,040 #40,14000 Lakeside Circle,CA,90048
Victoria's Secret,Washington,41,041 #41,1050 Connecticut Avenue NW,MA,2467
Victoria's Secret,Skokie,45,045 #45,153 Old Orchard Center,NJ,7078
Victoria's Secret,Houston,46,046 #46,1042 Willowbrook Mall,IL,60173
Victoria's Secret,Metairie,47,047 #47,3301 Veterans Memorial Blvd,TX,75240
Victoria's Secret,Troy,48,048 #48,412 W 14 Mile Road,OH,43232
Victoria's Secret,Overland Park,49,049 #49,11289 W 95Th Street,CA,92108
Victoria's Secret,Pleasanton,51,051 #51,2345 Stoneridge Mall Drive,NJ,7601
Victoria's Secret,Farmington,56,056 #56,500 Westfarms Mall,VA,22033
Victoria's Secret,Dearborn,57,057 #57,18900 Michigan Avenue,PA,15146
Victoria's Secret,Los Angeles,59,059 #59,750 W 7Th Street,IL,60061
Victoria's Secret,Albany,60,060 #60,1 Crossgates Mall,VA,22102
Victoria's Secret,Louisville,61,061 #61,7900 Shelbyville Road,PA,19090
