Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S & S FOOD STORE #4QPS,BP OIL,13820 NW 140TH ST,ALACHUA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNRISE #3         QPS,BP OIL,15701 MLK BLVRD,ALACHUA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 461 ALTAMONTE   QPS,BP OIL,109 E ALTAMONTE DR,ALTAMONTE SPR,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY FRONT          QPS,BP OIL,441 HWY 98,APALACHICOLA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED LINE FOOD MART QPS,BP OIL,48 AVE E,APALACHICOLA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 15310 MAIN APOPKQPS,BP OIL,277 E MAIN ST,APOPKA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 16875 OBT APOPKAQPS,BP OIL,2115 S ORANGE BLSM,APOPKA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP # 6079QPS,BP OIL,24421 SR 40,ASTOR,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC BEACH BP  QPS,BP OIL,715 ATLANTIC BLVD,ATLANTIC BEAC,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT OIL # 382    QPS,BP OIL,1211 MAYPORT RD,ATLANTIC BEAC,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKLEY BP         QPS,BP OIL,1114  BERKLEY RD,AUBURNDALE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVENTURA OPRTNG LLCQPS,BP OIL,21005 BISCAYNE BLVD,AVENTURA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAYLOR FOOD MART # QPS,BP OIL,3 US HWY 27 N,AVON PARK,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY STOP BP    QPS,BP OIL,HWY 129,BELL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNSTAR # 43      QPS,BP OIL,1540 NW AVE L,BELLE GLADE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNSTAR # 45      QPS,BP OIL,301 NORTH MAIN ST,BELLE GLADE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNSTAR #41       QPS,BP OIL,1624 NE AVE L,BELLE GLADE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLADES & LYONS BP  QPS,BP OIL,9028 GLADES RD,BOCA RATON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPANISH RIVER BP   QPS,BP OIL,3975 N FEDERAL HWY,BOCA RATON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN GAS BP         QPS,BP OIL,5440 GLADES ROAD,BOCA RATON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOP ''N'' GO BONIFAYQPS,BP OIL,102 HWY 90,BONIFAY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWLING GREEN BP   QPS,BP OIL,5211 US HWY 17 N,BOWLING GREEN,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALICHMAN BP       QPS,BP OIL,3510 W BOYNTON BEACH,BOYNTON BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINEWOOD BP        QPS,BP OIL,9104 PARAGON WAY,BOYNTON BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOLBRIGHT BP      QPS,BP OIL,1610 S CONGRESS AVE,BOYNTON BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADENTON AMOCO    QPS,BP OIL,5942 14TH ST W,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADNTON BP F S    QPS,BP OIL,2925  W MANATEE AVE,BRADENTON,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
