store_number,store_type,address,city,state,zip_code,phone_number,playplace,drive_thru,arch_card,free_wifi,latitude,longitude
3,STOREFRONT,5725 ROOSEVELT AVE,WOODSIDE,NY,11377,(718)639-5193,N,N,Y,Y,40.745495,-73.906723
6,GAS STATION,7040 THEODORE DAWES RD,THEODORE,AL,36582,(251)653-7099,N,Y,Y,Y,30.561124,-88.20655
7,GAS STATION,7501 WASHINGTON AVE,OCEAN SPRINGS,MS,39564,(228)875-7824,N,Y,Y,Y,30.449638,-88.841944
13,STOREFRONT,1317 CASTLEHILL AVE,BRONX,NY,10462,(718)863-9523,N,N,Y,Y,40.834652,-73.852081
14,STOREFRONT,645 ROSSVILLE AVE,STATEN ISLAND,NY,10309,(718)227-7331,N,N,Y,Y,40.542776,-74.207802
15,FREESTANDING,SEC BROADWAY/AVE F,DENVER CITY,TX,79323,(806)592-7488,Y,Y,Y,Y,32.964046,-102.834796
26,FREESTANDING,4320 N CICERO,CHICAGO,IL,60651,(773)455-3410,N,Y,Y,Y,41.959279,-87.7479
28,FREESTANDING,4830 DEMPSTER STREET,SKOKIE,IL,60077-2253,(847)675-4411,Y,Y,Y,Y,42.041067,-87.748655
29,FREESTANDING,6560 S STONEY ISLAND AVE,CHICAGO,IL,60637,(773)493-5800,N,Y,Y,Y,41.775364,-87.586815
32,FREESTANDING,444 SO RIVER ROAD,DES PLAINES,IL,60016-4731,(847)827-1220,N,Y,Y,Y,42.045303,-87.885418
37,FREESTANDING,3115  N BLACKSTONE AVE,FRESNO,CA,93703-1017,(559)229-0539,N,Y,Y,Y,36.778893,-119.790847
38,FREESTANDING,18761 SHERMAN WAY,RESEDA,CA,91335-4018,(818)881-8385,Y,Y,Y,Y,34.201477,-118.542305
39,FREESTANDING,6904 LA TIJERA BLVD.,LOS ANGELES,CA,90045-1954,(310)649-5617,Y,Y,Y,Y,33.975582,-118.373344
40,FREESTANDING,4950 S DAKOTA NE,WASHINGTON,DC,20017,(202)529-5126,N,N,Y,Y,38.949527,-76.993283
47,FREESTANDING,5425 FRUITRIDGE ROAD,SACRAMENTO,CA,95820-5508,(916)453-1615,N,Y,Y,Y,38.525289,-121.441728
49,FREESTANDING,1515 WEST JEFFERSON AVENUE,JOLIET,IL,60435,(815)725-9651,N,Y,Y,Y,41.523169,-88.119486
52,FREESTANDING,12542 HARBOR BLVD,GARDEN GROVE,CA,92840-5803,(714)971-2840,Y,Y,Y,Y,33.780876,-117.914421
55,FREESTANDING,225 E OGDEN AVE,DOWNERS GROVE,IL,60515-3144,(630)969-6310,Y,Y,Y,Y,41.809285,-87.992009
56,FREESTANDING,3241 W PETERSON,CHICAGO,IL,60645,(773)588-8860,Y,Y,Y,Y,41.990025,-87.710477
57,FREESTANDING,7614 RICHMOND HWY,ALEXANDRIA,VA,22306,(703)768-1930,N,Y,Y,Y,38.75097,-77.083683
59,FREESTANDING,656 RIVER OAKS DRIVE,CALUMET CITY,IL,60409-5712,(708)862-9707,Y,Y,Y,Y,41.600419,-87.54101
61,FREESTANDING,3020 LEHIGH ST,ALLENTOWN,PA,18103,(610)797-4150,N,Y,Y,Y,40.559727,-75.487806
63,FREESTANDING,2075 SNELLING AVE N,ROSEVILLE,MN,55113,(651)631-1630,Y,Y,Y,Y,45.003555,-93.167374
66,FREESTANDING,5425 WEST NORTH BEND ROAD,CINCINNATI,OH,45239,(513)662-2217,Y,Y,Y,Y,39.188997,-84.601562
68,FREESTANDING,8056 SHERIDAN RD,KENOSHA,WI,53142,(262)654-4840,N,Y,Y,Y,42.55688,-87.825703
70,FREESTANDING,4849 MCKNIGHT RD,PITTSBURGH,PA,15237,(412)364-4773,Y,Y,Y,Y,40.528661,-80.008203
71,FREESTANDING,9915 WATSON RD,CRESTWOOD,MO,63126,(314)965-0815,N,Y,Y,Y,38.55704,-90.393754
72,FREESTANDING,1023 N LAKE ST,AURORA,IL,60506-2415,(630)897-2052,Y,Y,Y,Y,41.778619,-88.315176
73,FREESTANDING,445 W ROOSEVELT RD,GLEN ELLYN,IL,60137-5622,(630)858-1114,Y,Y,Y,Y,41.858888,-88.070553
74,FREESTANDING,2120 N. LARCH,LANSING,MI,48906-4115,(517)371-4266,N,Y,Y,Y,42.757011,-84.543351
76,FREESTANDING,3600 UNIVERSITY,PEORIA,IL,61604,(309)685-9397,N,Y,Y,Y,40.731422,-89.612153
77,FREESTANDING,2100 LATHROP AVE,RACINE,WI,53405-4135,(262)554-1100,Y,Y,Y,Y,42.703697,-87.826356
78,FREESTANDING,350 E SAINT CHARLES RD,VILLA PARK,IL,60181-2420,(630)530-0187,Y,Y,Y,Y,41.89035,-87.969657
79,FREESTANDING,2402 S PARK ST,MADISON,WI,53713-2008,(608)251-1993,N,Y,Y,Y,43.039516,-89.394539
80,FREESTANDING,401 SUMMIT ST,ELGIN,IL,60120,(847)741-9768,N,Y,Y,Y,42.045882,-88.275459
82,FREESTANDING,1117 HOWARD STREET,EVANSTON,IL,60202,(847)864-5988,N,Y,Y,Y,42.019769,-87.687685
86,FREESTANDING,3515 S DALE MABRY,TAMPA,FL,33629,(813)839-6651,N,Y,Y,Y,27.910894,-82.506659
87,FREESTANDING,1570 E NORTHWEST HWY,PALATINE,IL,60074-7609,(847)255-2955,N,Y,Y,Y,42.094828,-88.006031
88,FREESTANDING,804 S MAIN ST,NORMAL,IL,61701,(309)452-4023,N,Y,Y,Y,40.503316,-88.994414
90,FREESTANDING,3433 AVENUE OF THE CITIES,MOLINE,IL,61265-4418,(309)797-8725,N,Y,Y,Y,41.491834,-90.488028
91,FREESTANDING,1587 SHAWANO AVE,GREEN BAY,WI,54303-3218,(920)494-4472,N,Y,Y,Y,44.529799,-88.060829
93,FREESTANDING,6320 W LAKE ST,ST. LOUIS PARK,MN,55416,(952)929-0770,Y,Y,Y,Y,44.942429,-93.359924
94,FREESTANDING,1443 MADISON RD,BELOIT,WI,53511-4080,(608)362-8718,N,Y,Y,Y,42.517168,-89.063455
95,FREESTANDING,1622 MILTON AVE,JANESVILLE,WI,53545-1133,(608)752-7521,Y,Y,Y,Y,42.704061,-89.006395
97,FREESTANDING,5008 STATE STREET,SAGINAW,MI,48603-3708,(989)792-6951,Y,Y,Y,Y,43.437273,-84.015157
100,FREESTANDING,715 EAST MEMORIAL BLVD.,LAKELAND,FL,33810,(863)688-6265,N,Y,Y,Y,28.054668,-81.950658
101,FREESTANDING,530 S WAUKEGAN RD,GLENVIEW,IL,60025,(847)724-3711,Y,Y,Y,Y,42.064885,-87.800098
103,FREESTANDING,1941 WEST STREET,ANNAPOLIS,MD,21401-3907,(410)266-8023,N,Y,Y,Y,38.98049,-76.527708
104,FREESTANDING,5501 LIVINGSTON RD,FOREST HEIGHTS,MD,20745-2037,(301)839-9211,N,Y,Y,Y,38.81489,-76.997762
108,FREESTANDING,109 SOUTH GILBERT STREET,DANVILLE,IL,61832-6229,(217)446-4084,Y,Y,Y,Y,40.11941,-87.636623
109,FREESTANDING,1800 28TH STREET,BOULDER,CO,80301,(303)443-4700,N,Y,Y,Y,40.019257,-105.257711
110,FREESTANDING,4319 PEACH ST,ERIE,PA,16509,(814)866-6865,N,Y,Y,Y,42.08933,-80.085535
112,FREESTANDING,500 E CHARLES ST,MUNCIE,IN,47305-2610,(765)284-8848,N,Y,Y,Y,40.191292,-85.381274
116,FREESTANDING,8600 DIXIE HWY,LOUISVILLE,KY,40258-1002,(502)935-2762,N,Y,Y,Y,38.127988,-85.850455
117,FREESTANDING,1221 28TH ST SW,WYOMING,MI,49509-2701,(616)531-6190,Y,Y,Y,Y,42.91389,-85.6963
119,FREESTANDING,1330 N MILWAUKEE AVE,LIBERTYVILLE,IL,60048-1309,(847)362-3040,N,Y,Y,Y,42.297577,-87.955959
121,FREESTANDING,2307 NORTH AVE,SHEBOYGAN,WI,53083,(920)458-2421,Y,Y,Y,Y,43.773853,-87.736611
122,FREESTANDING,2692 GOVERNMENT ST,MOBILE,AL,36606,(251)471-5014,Y,Y,Y,Y,30.666182,-88.106416
123,FREESTANDING,6729 ARLINGTON BLVD,FALLS CHURCH,VA,22042,(703)241-1488,N,N,Y,Y,38.868838,-77.176824
124,FREESTANDING,1321 UNION BLVD,ALLENTOWN,PA,18109-1572,(610)437-7970,N,Y,Y,Y,40.625065,-75.435147
128,FREESTANDING,7502 LINCOLN HIGHWAY E,FORT WAYNE,IN,46803-3262,(260)749-8015,N,Y,Y,Y,41.069272,-85.045275
132,FREESTANDING,1863 N JACKSON ST,OSHKOSH,WI,54901-2203,(920)231-2268,N,Y,Y,Y,44.040673,-88.54334
133,FREESTANDING,3701 NEW ROGERS RD,LEVITTOWN,PA,19056,(215)946-6085,Y,Y,Y,Y,40.129447,-74.883284
134,FREESTANDING,107 MAIN ST,ISLIP,NY,11751,(631)665-6420,Y,Y,Y,Y,40.728313,-73.225479
135,FREESTANDING,501 WEST SUNSHINE,SPRINGFIELD,MO,65807-2435,(417)862-4241,N,Y,Y,Y,37.182774,-93.29677
139,FREESTANDING,1024 EAST GRAND RIVER ROAD,EAST LANSING,MI,48823-4542,(517)332-6647,N,Y,Y,Y,42.731273,-84.470181
144,FREESTANDING,1425 MISSOURI BLVD,JEFFERSON CITY,MO,65109,(573)635-5824,N,Y,Y,Y,38.579066,-92.195242
146,FREESTANDING,28220 JOHN R/12 MILE ROAD,MADISON HEIGHTS,MI,48071-2814,(248)545-5134,N,Y,Y,Y,42.501095,-83.105125
147,FREESTANDING,207 NORTH WAHSATCH,COLORADO SPRINGS,CO,80903-3408,(719)634-7589,N,Y,Y,Y,38.836886,-104.817363
151,FREESTANDING,8214 N FLORIDA AVE,TAMPA,FL,33604,(813)935-4477,N,Y,Y,Y,28.023042,-82.459846
152,FREESTANDING,3645 CLEVELAND AVENUE,FORT MYERS,FL,33901-7905,(239)936-3054,N,Y,Y,Y,26.609511,-81.871417
154,FREESTANDING,1072 NORTH HENDERSON STREET,GALESBURG,IL,61401-2553,(309)343-8340,N,Y,Y,Y,40.960592,-90.383623
156,FREESTANDING,255 E COLISEUM BLVD,FORT WAYNE,IN,46805-1002,(260)483-1212,N,Y,Y,Y,41.118651,-85.139342
158,FREESTANDING,"1831 SHERMAN BLVD., WEST",MUSKEGON,MI,49441-3428,(231)755-2585,N,Y,Y,Y,43.205295,-86.289701
159,FREESTANDING,1620 SERVICE DR,WINONA,MN,55987-2177,(507)452-9488,N,Y,Y,Y,44.051136,-91.68148
162,FREESTANDING,1513 S HASTINGS WAY,EAU CLAIRE,WI,54701-4464,(715)835-9919,N,Y,Y,Y,44.802458,-91.469387
163,FREESTANDING,699 S MILITARY RD,FOND DU LAC,WI,54935-4702,(920)922-7070,N,Y,Y,Y,43.763684,-88.466201
164,FREESTANDING,3512 CALUMET AVE,MANITOWOC,WI,54220-5430,(920)682-5592,N,Y,Y,Y,44.083625,-87.691753
165,FREESTANDING,3137 S 76TH ST,MILWAUKEE,WI,53219-3702,(414)321-1520,N,Y,Y,Y,42.987331,-88.00806
166,FREESTANDING,1630 S HILLSIDE,WICHITA,KS,67211-4019,(316)686-9612,N,Y,Y,Y,37.664004,-97.298349
169,FREESTANDING,407 W PROSPECT,JACKSON,MI,49203-4008,(517)782-9829,N,Y,Y,Y,42.226937,-84.415859
171,FREESTANDING,205 BUSINESS LOOP,COLUMBIA,MO,65201,(573)443-7785,N,Y,Y,Y,38.965145,-92.334905
173,FREESTANDING,10915 W NATIONAL AVE,WEST ALLIS,WI,53227,(414)543-6440,Y,Y,Y,Y,42.99282,-88.047909
174,FREESTANDING,22535 LORAIN RD.,FAIRVIEW PARK,OH,44126-2211,(440)734-2033,N,Y,Y,Y,41.439224,-81.869367
179,FREESTANDING,918 N EUCLID AVE,BAY CITY,MI,48706,(989)684-3626,N,Y,Y,Y,43.613397,-83.914098
181,FREESTANDING,2440 8TH AVE,GREELEY,CO,80631-7035,(970)352-6786,Y,Y,Y,Y,40.398691,-104.690574
183,FREESTANDING,3839 HEMPSTEAD TURNPIKE,LEVITTOWN,NY,11756,(516)731-9112,Y,Y,Y,Y,40.72599,-73.494095
187,FREESTANDING,2901 WILMINGTON PIKE,KETTERING,OH,45419,(937)299-8643,N,Y,Y,Y,39.704774,-84.14269
188,FREESTANDING,4700 SOUTH CEDAR STREET,LANSING,MI,48910-5470,(517)393-8678,N,Y,Y,Y,42.686458,-84.54853
189,FREESTANDING,1915 W MAIN ST,ST. CHARLES,IL,60174,(630)377-7445,N,Y,Y,N,41.912323,-88.337488
190,FREESTANDING,2401 S COLLEGE AVE,FORT COLLINS,CO,80525-1725,(970)482-1612,N,Y,Y,Y,40.556045,-105.077633
191,FREESTANDING,812 W COLUMBIA,BATTLE CREEK,MI,49015-3030,(269)964-2578,Y,Y,Y,Y,42.298625,-85.214737
192,FREESTANDING,1101 SUMMIT AVE,GREENSBORO,NC,27405,(336)274-7328,N,Y,Y,Y,36.089103,-79.774628
193,FREESTANDING,1385 NIAGARA FALLS BLVD,AMHERST,NY,14226,(716)833-2159,N,Y,Y,Y,42.991835,-78.821843
197,FREESTANDING,2021 E MARKET ST,AKRON,OH,44305,(330)733-3666,N,Y,Y,Y,41.061232,-81.454996
198,FREESTANDING,1724 MIDDLE COUNTRY RD,CENTEREACH,NY,11720,(631)732-5254,Y,Y,Y,Y,40.859695,-73.072678
199,FREESTANDING,6900 W OGDEN AVE,BERWYN,IL,60402-3648,(708)749-1599,N,Y,Y,Y,41.825899,-87.795382
200,FREESTANDING,10775 LEE HWY,FAIRFAX,VA,22030,(703)591-7557,N,Y,Y,Y,38.854789,-77.31566
201,FREESTANDING,57 BOSTON POST ROAD,ORANGE,CT,06477-3237,(203)799-8214,N,Y,Y,Y,41.27862,-72.987816
202,FREESTANDING,4605 CENTRAL AVE NE,MINNEAPOLIS,MN,55421-2435,(763)571-7416,Y,Y,Y,Y,45.052124,-93.246895
204,FREESTANDING,2211 GREENBAY ROAD,NORTH CHICAGO,IL,60064-3006,(847)473-1699,N,Y,Y,Y,42.318938,-87.865492
205,FREESTANDING,15500 BROADWAY,MAPLE HEIGHTS,OH,44137-1120,(216)475-2792,N,Y,Y,Y,41.417312,-81.573266
207,FREESTANDING,1154 UNION RD,WEST SENECA,NY,14224,(716)674-7170,N,Y,Y,Y,42.831235,-78.754092
209,FREESTANDING,3093 HAMILTON BLVD,SIOUX CITY,IA,51104-2407,(712)255-4772,N,Y,Y,Y,42.523697,-96.417769
210,FREESTANDING,G-3391 S SAGINAW ST,BURTON,MI,48529-1244,(810)743-1120,N,Y,Y,Y,42.978363,-83.673123
212,FREESTANDING,1771 S ERIE BLVD,HAMILTON,OH,45011-4117,(513)868-7222,N,Y,Y,Y,39.378362,-84.550377
216,FREESTANDING,805 W LINCOLN HWY,DEKALB,IL,60115,(815)756-5202,Y,Y,Y,Y,41.931531,-88.768113
217,FREESTANDING,51 TUNNEL RD,ASHEVILLE,NC,28805,(828)254-6715,Y,Y,Y,Y,35.595474,-82.533182
219,FREESTANDING,11025 E COLFAX AVE,AURORA,CO,80010-2502,(303)364-5212,Y,Y,Y,Y,39.740594,-104.859771
220,FREESTANDING,5900 MENAUL BLVD NE,ALBUQUERQUE,NM,87110-3240,(505)884-3517,N,Y,Y,Y,35.108677,-106.577919
221,FREESTANDING,334 E MONTAUK HWY,LINDENHURST,NY,11757,(631)226-5313,Y,Y,Y,Y,40.684116,-73.353348
222,FREESTANDING,3212 CLIO ROAD,FLINT,MI,48504-7161,(810)239-9211,N,Y,Y,Y,43.045381,-83.73213
223,FREESTANDING,2223 W MAIN ST,RAPID CITY,SD,57702,(605)342-3483,N,Y,Y,Y,44.081549,-103.256461
225,FREESTANDING,374 EAST MAIN STREET,NEWARK,DE,19711-7149,(302)737-0502,Y,Y,Y,Y,39.685636,-75.737484
226,FREESTANDING,2535 E LINCOLNWAY,CHEYENNE,WY,82001-5449,(307)632-1222,Y,Y,Y,Y,41.138131,-104.786108
229,FREESTANDING,4757 WEST TUSCARAWAS AVE,CANTON,OH,44708-5340,(330)478-1684,Y,Y,Y,Y,40.795463,-81.435735
232,FREESTANDING,1905 S FEDERAL BLVD,DENVER,CO,80219-5509,(303)934-6836,Y,Y,Y,Y,39.681991,-105.025599
