dba,store_number,address,address_line_2,city,state,zip_code,phone_number,store_hours,pharmacy_phone_number,24_hour,24_hour_pharmacy,clinic,compounding,drivethru,hospital,convenience,health_service,latitude,longitude,store_number,address,city,state,zip_code,phone_number,latitude,longitude
Walgreens,23,5001 MONTGOMERY BLVD NE,San Mateo & Montgomery,ALBUQUERQUE,NM,87109, (505) 881-5210,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (505) 881-5210,Yes,Yes,No,No,Yes,Yes,TRUE,TRUE,35.133583,-106.587204,23,5001 MONTGOMERY BLVD NE,ALBUQUERQUE,NM,87109, (505) 881-5210,35.133583,-106.587204
Walgreens,39,235 E PALATINE RD,Palatine & Arlington Heights Road or Palatine & Rand,ARLINGTON HEIGHTS,IL,60004, (847) 394-2420,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM, (847) 394-2420,Yes,No,No,No,No,Yes,TRUE,FALSE,42.107934,-87.979855,39,235 E PALATINE RD,ARLINGTON HEIGHTS,IL,60004, (847) 394-2420,42.107934,-87.979855
Walgreens,63,900 RALSTON AVE,Ralston & El Camino Real,BELMONT,CA,94002, (650) 592-7224,Mon: 8:00AM-9:00PM Tue: 8:00AM-9:00PM Wed: 8:00AM-9:00PM Thu: 8:00AM-9:00PM Fri: 8:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (650) 592-7224,No,No,No,No,No,Yes,TRUE,FALSE,37.520472,-122.2764194,63,900 RALSTON AVE,BELMONT,CA,94002, (650) 592-7224,37.520472,-122.2764194
Walgreens,74,1634 S FEDERAL HWY,Woolbright & Federal Highway,BOYNTON BEACH,FL,33435, (561) 737-1260,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM, (561) 737-1260,Yes,No,No,No,Yes,No,TRUE,TRUE,26.513323,-80.0587085,74,1634 S FEDERAL HWY,BOYNTON BEACH,FL,33435, (561) 737-1260,26.513323,-80.0587085
Walgreens,89,8715 S HARLEM AVE,87th & Harlem Avenue,BRIDGEVIEW,IL,60455, (708) 598-2511,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (708) 598-2511,No,No,No,No,Yes,Yes,TRUE,TRUE,41.732796,-87.797611,89,8715 S HARLEM AVE,BRIDGEVIEW,IL,60455, (708) 598-2511,41.732796,-87.797611
Walgreens,101,3382 CASTRO VALLEY BLVD,CASTRO VALLEY BOULEVARD & REDWOOD,CASTRO VALLEY,CA,94546, (510) 537-0072,Mon: 8:00AM-9:00PM Tue: 8:00AM-9:00PM Wed: 8:00AM-9:00PM Thu: 8:00AM-9:00PM Fri: 8:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (510) 537-0072,No,No,No,Yes,Yes,Yes,TRUE,TRUE,37.695699,-122.075499,101,3382 CASTRO VALLEY BLVD,CASTRO VALLEY,CA,94546, (510) 537-0072,37.695699,-122.075499
Walgreens,111,676 STATE ST,STATE STREET & LAKE STREET,MADISON,WI,53703, (608) 257-2556,Mon: - Tue: - Wed: - Thu: - Fri: - Sat: - Sun: -, (608) 257-2556,No,No,No,No,No,No,TRUE,FALSE,43.075027,-89.397136,111,676 STATE ST,MADISON,WI,53703, (608) 257-2556,43.075027,-89.397136
Walgreens,118,5650 W BELMONT AVE,BELMONT & CENTRAL,CHICAGO,IL,60634, (773) 777-4611,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (773) 777-4611,No,No,No,No,No,Yes,TRUE,FALSE,41.938772,-87.768635,118,5650 W BELMONT AVE,CHICAGO,IL,60634, (773) 777-4611,41.938772,-87.768635
Walgreens,143,7101 VETERANS MEMORIAL BLVD,Veterans & Power Boulevard,METAIRIE,LA,70003, (504) 455-2431,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (504) 455-2431,No,No,No,No,No,Yes,TRUE,FALSE,30.005504,-90.219395,143,7101 VETERANS MEMORIAL BLVD,METAIRIE,LA,70003, (504) 455-2431,30.005504,-90.219395
Walgreens,147,3611 E 106TH ST,106TH & EWING,CHICAGO,IL,60617, (773) 978-1988,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-5:00PM Sun: 10:00AM-6:00PM, (773) 978-1988,No,No,No,No,No,Yes,TRUE,FALSE,41.702606,-87.536131,147,3611 E 106TH ST,CHICAGO,IL,60617, (773) 978-1988,41.702606,-87.536131
