store_number,store_type,address,city,state,zip_code,phone_number,store_hours,pharmacy_phone_number,pharmacy_hours,has_photo_center,has_vision_center,has_tire__lube,has_gas_station,has_cell_phones,services,latitude,longitude,accuracy
1,Walmart Supercenter,2110 W Walnut St,Rogers,AR,72756, (479) 636-3222,Open 24 Hours, (479) 636-8238,Monday - Friday : 8: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,,Gas Station Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel,36.332031,-94.149051,STREET_ADDRESS: ROOFTOP
2,Walmart Supercenter,161 N. Walmart Drive,Harrison,AR,72601, (870) 365-8400,Open 24 Hours, (870) 741-2327,Monday - Friday : 8: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",36.268977,-93.1389147,PREMISE: APPROXIMATE
3,Walmart Supercenter,30983 Highway 441 S,Commerce,GA,30529, (706) 335-7563,Open 24 Hours, (706) 335-7818,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",34.180781,-83.442176,ROUTE: GEOMETRIC_CENTER
4,Walmart Supercenter,2901 Highway 412 E,Siloam Springs,AR,72761, (479) 524-5101,Open 24 Hours, (479) 524-3156,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Medical Clinics Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",36.183175,-94.512615,STREET_ADDRESS: ROOFTOP
5,Walmart Supercenter,1155 Hwy 65 North,Conway,AR,72032, (501) 329-0023,Open 24 Hours, (501) 329-1592,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",35.1086464,-92.4369037,STREET_ADDRESS: ROOFTOP
7,Walmart Supercenter,9053 Highway 107,Sherwood,AR,72120, (501) 833-0972,Monday: Open 24 Hours Tuesday: 12: 00 am - 8: 00 pm Wednesday: 5: 00 am - 12: 00 am Thursday - Friday : Open 24 Hours Saturday: Open 24 Hours Sunday: Open 24 hours, (501) 833-0701,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Pharmacy Medical Clinics Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",34.8391514,-92.2367905,STREET_ADDRESS: ROOFTOP
8,Walmart Supercenter,1621 North Business 9,Morrilton,AR,72110, (501) 354-0290,Open 24 Hours, (501) 354-4135,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,Gas Station,,Gas Station Tire & Lube Pharmacy Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel,35.1688838,-92.7261675,STREET_ADDRESS: ROOFTOP
9,Walmart Supercenter,1303 S Main St,Sikeston,MO,63801, (573) 472-3020,Open 24 Hours, (573) 471-6775,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",36.8693766,-89.5794238,STREET_ADDRESS: RANGE_INTERPOLATED
10,Walmart Supercenter,2020 S Muskogee Ave,Tahlequah,OK,74464, (918) 456-8804,Open 24 Hours, (918) 456-2437,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",35.8887523,-94.9799735,STREET_ADDRESS: ROOFTOP
11,Walmart Supercenter,65 Wal Mart Dr,Mountain Home,AR,72653, (870) 492-9299,Open 24 Hours, (870) 492-7733,Monday - Friday : 8: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube McDonald's Pharmacy Medical Clinics Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",36.3353949,-92.381346,LOCALITY: APPROXIMATE
