DESCRIPTION|factual_id|IS_PHYSICAL_TRANSACTION|name
QUINCE RESTAURANT SAN FRANCISCO CA|005b2d1e-1c81-405b-98a0-e6a9b9a1a066|1|Quince Restaurant
SCOMAS RESTAURANT SAN FRANCISCO CA|009d705b-adaa-4156-86b7-0bc6d956c155|1|Scoma's Fisherman's Wharf
THRIFT TOWN #3         SAN FRANCISCOCAUS|017f6a13-cc8a-44b1-a12e-3e9b5834b59a|1|Thrift Town
PET FOOD EXPRESS 3046 SAN FRANCISCO CA|02594730-78d8-4fb6-87d9-ce30c6aeb202|1|Pet Food Express
CVS 02423 08/16 #000228982 PURCHASE 02423--1456 E.Yos Madera CA|02c8e5e5-1019-4a50-b655-c389052e3991|1|
CHKCARD LEMONGRASS THAI NOODLE SAN FRANCISCO CA|03882c1e-3e05-4915-b691-eef54559966b|1|Lemon Grass Thai Cuisine
WESTIN ST. FRANCIS DIN SAN FRANCISCO CA|03ac52c4-df5b-4203-962e-3bc411daa90c|1|The Westin St Francis
RAINBOW GROCERY          SAN FRANCISCOCA|03c8c1f2-401c-44a3-be50-a688f03a6254|1|Rainbow Grocery Cooperative
NEW EMMY'S RESTAURANT SAN FRANCISCO CA|03cc35c5-8559-4d32-a8ad-b461b779109c|1|Emmy's Restaurant
HERBIVORE           SAN FRANCISCO   CAUS|03cdab33-e9fa-4e1f-87f6-92dc3f0b7346|1|Herbivore The Earthly Grill
MOZZARRELLA DI BUFALA SAN FRANCISCO CA|041aa0b9-e7b6-4520-b83f-e6a486b0dd24|1|Mozzarella Di Bufala Pizzeria
SFMOMA ADMISSIONS SAN FRANCISCOCA|055ce18b-8a23-4a7f-b3ae-bcee4289f069|1|San Francisco Museum of Modern Art
CHECKCARD JAMBA JUICE #354 SAN FRANCISCOCA|055d7367-4026-4ef6-8986-e6f3c12eb045|1|Jamba Juice
CAFE SARAFORNIA     CALISTOGA       CAUS|057eaee5-2108-4fb5-91f2-46889b714ce2|1|Cafe Sarafornia
PIER 23 CAFE SAN FRANCISCO CA - EATING PLACES|05bd285d-4608-41b3-89d6-f580d30b9da7|1|Pier 23 Cafe
CHECKCARD 0423 ST JOHNS BAR & GRILL SUNNYVALE CA 24013393113001431238118|05c1fd49-f2b4-4bd6-aad3-e809c517e4a0|1|
