DESCRIPTION,pin.location,factual_id,composite.address,name,po_box,email,locality
ONE CA STREET PARTNERS SAN FRANCISCO CA,,,,,,,
CHECKCARD 0601 WEBFACTION 44845862031 74198813153321293469746,"{'coordinates': ['-74.908179', '40.263121'], 'type': 'point'}",1d63ec1b-18f9-46b9-b4ec-461ea345dd6e,"Rt 532  Washington Crossing, PA 18977, us",Sodexho,P.O. Box 602-0601,,Washington Crossing
TRICK DOG SAN FRANCISCO CA,"{'coordinates': ['-122.411028', '37.759198'], 'type': 'point'}",1e8cb3a9-8218-4e4b-8746-8730dc4e2a33,"3010 20th St "" 20th"" San Francisco, CA 94110, us",Trick Dog,,,San Francisco
Misc. Debit SF BICYCLE RENTALS SAN FRANCISCO CA,"{'coordinates': ['-122.419482', '37.807829'], 'type': 'point'}",77b61800-1e18-012f-0643-0030487f54d8,"425 Jefferson St  San Francisco, CA 94109, us",San Francisco Bicycle Rentals,,,San Francisco
CENTURY THEATRES 48 REDWOOD CITY    CAUS,,,,Redwood Theatres,,,
DUC LOI SUPERMARKET      SAN FRANCISCOCA,,,,Duc Loi Supermarket,,,
TRADER JOE'S # 11/22 #000877061 PURCHASE TRADER JOE'S # SUNNYVALE CA,"{'coordinates': ['-122.032798', '37.366798'], 'type': 'point'}",1716a696-5c44-4227-8cc6-0e740398bfda,"727 Sunnyvale Saratoga Rd "" Sunnyvale"" Sunnyvale, CA 94087, us",Trader Joe's,,,Sunnyvale
Misc. Debit SF BICYCLE RENTALS SAN FRANCISCO CA,"{'coordinates': ['-122.419482', '37.807829'], 'type': 'point'}",77b61800-1e18-012f-0643-0030487f54d8,"425 Jefferson St  San Francisco, CA 94109, us",San Francisco Bicycle Rentals,,,San Francisco
76                  MENLO PARK      CAUS,"{'coordinates': ['-122.537586', '45.526818'], 'type': 'point'}",5bc06ce3-6bfa-43de-a1b0-dac2d61ffaa2,"520 NE 122nd Ave  Portland, OR 97230, us",Menlo Park 76,,,Portland
LEE'S DELI SAN FRANCISCO CA,,,,Lee's Deli,,,
ARCO PAYPOINT 06/08 #000431971 PURCHASE 18605 MONTEREY RD MORGAN HILL CA,,,,,,,
WORKING GIRLS CAFE #2 SAN FRANCISCO CA,,,,Working Girls Cafe,,,
CHECKCARD 1005 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063279286857201012,"{'coordinates': ['-122.031909', '37.352759'], 'type': 'point'}",4105e7e6-3547-4e3c-97d4-557c09dc208f,"103 E Fremont Ave  Sunnyvale, CA 94087, us",Thai Pepper Cuisine,,,Sunnyvale
CALISTOGA KITCHEN L CALISTOGA       CAUS,,,,,,,
ARCO PAYPOINT 06/08 #000915386 PURCHASE 18605 MONTEREY RD MORGAN HILL CA,,,,,,,
ANCHOR OYSTER BAR INC SAN FRANCISCOCA,"{'coordinates': ['-122.434858', '37.759708'], 'type': 'point'}",0cb36078-f8a4-4005-9da1-a7ea5ddc3dab,"579 Castro St  San Francisco, CA 94114, us",Anchor Oyster Bar,,,San Francisco
CASA LUCAZ #3 SAN FRANCISCO CA,"{'coordinates': ['-122.434139', '37.725378'], 'type': 'point'}",46b88435-1c42-4398-8647-176af5865548,"4555 Mission St  San Francisco, CA 94112, us",Casa Lucaz 3,,,San Francisco
NO 9 FISHERMEN'S GROTTO SAN FRANCISCO CA - EATING PLACES,,,,,,,
CHECKCARD MCDONALD'S F11742 SAN FRANCISCOCA,,,,McDonald's,,,
POS PUR PEETS SFO #4 SAN FRANCISCO CA,,,,,,,
CHECKCARD 0415 ANZA PARKING CORPORATIO BURLINGAME CA 24755423105161056865517,"{'coordinates': ['-122.345169', '37.58968'], 'type': 'point'}",0b5a9de8-0158-42f9-bbd9-9d22c441f3c8,"615 Airport Blvd  Burlingame, CA 94010, us",Airport Parking By Anza Parking,,,Burlingame
HERBIVORE           SAN FRANCISCO   CAUS,,,,Herbivore The Earthly Grill,,,
Visa Check Card TACOLICIOUS SAN FRANCISCO CA,,,,Tacolicious,,,
CAFE SARAFORNIA     CALISTOGA       CAUS,"{'coordinates': ['-122.579105', '38.578987'], 'type': 'point'}",057eaee5-2108-4fb5-91f2-46889b714ce2,"1413 Lincoln Ave  Calistoga, CA 94515, us",Cafe Sarafornia,,,Calistoga
096 REDWOOD JOHNNY  REDWOOD CITY    CAUS,,,,,,,
FRY'S ELECTRON 02/03 #000004564 PURCHASE FRY'S ELECTRONICS SUNNYVALE CA,,,,Fry's Electronics,,,
CHECKCARD 0830 24 HOUR FITNESS SUNNYVALE CA 24692163243000600231696,,,,24 Hour Fitness,,,
BIG 5 SPORTING 06/18 #000014839 PURCHASE BIG 5 SPORTING GO SUNNYVALE CA,"{'coordinates': ['-122.032712', '37.367008'], 'type': 'point'}",3325d66a-339d-44a1-ba3b-1d5fc8db1582,"721 Sunnyvale Saratoga Rd  Sunnyvale, CA 94087, us",Big 5 Sporting Goods,,,Sunnyvale
THRIFT TOWN #3         SAN FRANCISCOCAUS,,,,Thrift Town,,,
CVS 09700 0970 12/24 #000530279 PURCHASE CVS 09700 09700-- Sunnyvale CA,,,,,,,
UCSF ORTHOPEDICS SAN FRANCISCO CA,,,,Ucsf,,,
CHECKCARD 1218 AMC CUPERTINO SQ #0424 CUPERTINO CA 24610433353072000374741,"{'coordinates': ['-122.014599', '37.325956'], 'type': 'point'}",6232e09c-8914-44ea-b111-b1659dff8eaf,"Cupertino, CA 95014, us",AMC Cupertino Square 16,,,Cupertino
