Word,FREQ
"County",6025
"City",506
"Lake",290
"Park",246
"New",238
"West",230
"North",212
"Township",189
"University",176
"Springs",168
"Airport",162
"Valley",162
"Beach",159
"East",152
"South",148
"San",142
"Hill",135
"Falls",131
"Parish",129
"Fort",126
"Washington",120
"Saint",114
"Mount",111
"Center",101
"St",99
"River",98
"Heights",94
"Grove",92
"Jefferson",92
"of",92
"Downtown",91
"Hills",89
"International",88
"Franklin",87
"Creek",84
"Island",83
"Jackson",83
"Point",82
"La",78
"Lincoln",78
"Madison",78
"Municipio",78
"Union",77
"Bay",72
"Port",72
"Grand",63
"Rock",61
"Monroe",60
"Marion",59
"Spring",59
"Santa",57
"Oak",56
"Wayne",54
"Clinton",53
"Montgomery",53
"Village",52
"Columbia",51
"Ridge",51
"Warren",51
"Mountain",49
"Central",46
"State",46
"Clay",45
"Green",45
"Richmond",45
"Harbor",44
"Air",42
"Salem",42
"White",42
"city",41
"El",41
"Mills",41
"Pleasant",41
"Springfield",41
"Vernon",41
"Hamilton",40
"Marshall",40
"Orange",40
"Pine",40
"District",39
"Forest",39
"Grant",39
"Haven",39
"The",38
"Base",37
"Cedar",37
"Greenville",37
"Johnson",37
"Red",37
"Lawrence",36
"Lee",36
"Miami",36
"Junction",35
"Newton",35
"Perry",35
"Rapids",35
"York",35
"Big",34
"Lafayette",34
"Logan",34
"Old",34
"Carroll",33
"Douglas",33
"Morgan",33
"Vista",33
"Adams",32
"Benton",32
"Fayette",32
"Force",32
"Palm",32
"Arlington",31
"Calhoun",31
"Charter",31
"Glen",31
"Greene",31
"Hancock",31
"Harrison",31
"Newport",31
"Richland",31
"Columbus",30
"Decatur",30
"Hampton",30
"Lebanon",30
"Liberty",30
"Little",30
"Los",30
"Scott",30
"Albany",29
"Chester",29
"Fairfield",29
"Portland",29
"Prairie",29
"Rio",29
"Van",29
"View",29
"Bend",28
"Butler",28
"Clark",28
"Cleveland",28
"Dallas",28
"Lakes",28
"Lancaster",28
"Milford",28
"Oxford",28
"Polk",28
"Shelby",28
"Troy",28
"Webster",28
"Auburn",27
"Charles",27
"Cumberland",27
"Fulton",27
"Henderson",27
"Lexington",27
"Bedford",26
"Burlington",26
"Camden",26
"Canton",26
"Houston",26
"Randolph",26
"Silver",26
"Henry",25
"Highland",25
"Jasper",25
"Long",25
"Plymouth",25
"Ashland",24
"Bristol",24
"Buffalo",24
"California",24
"Charleston",24
"College",24
"Crawford",24
"Eagle",24
"Hartford",24
"Hudson",24
"Livingston",24
"Manchester",24
"Oakland",24
"Pike",24
"Sterling",24
"Blue",23
"Florence",23
"Kent",23
"Knox",23
"Putnam",23
"Rochester",23
"Town",23
"Windsor",23
"Cherokee",22
"Farmington",22
"Howard",22
"Huntington",22
"Mercer",22
"Anderson",21
"Boone",21
"Brown",21
"Dayton",21
"De",21
"Jacksonville",21
"Louis",21
"Martin",21
"Mason",21
"Petersburg",21
"Summit",21
"Taylor",21
"Brunswick",20
"Cape",20
"Cass",20
"Danville",20
"George",20
"Hope",20
"Isle",20
"Las",20
"Laurel",20
"Macon",20
"Midland",20
"Pulaski",20
"Wilmington",20
"Alexandria",19
"Augusta",19
"Aurora",19
"Beaver",19
"Berlin",19
"Castle",19
"Davis",19
"Des",19
"Elk",19
"Fremont",19
"Garden",19
"Garfield",19
"Georgetown",19
"Greenwood",19
"Hanover",19
"Kingston",19
"Lewis",19
"Plains",19
"Rancho",19
"Riverside",19
"Sioux",19
"Somerset",19
"Station",19
"TX",19
"Allen",18
"and",18
"Athens",18
"Bloomfield",18
"Borough",18
"Branch",18
"Butte",18
"Cambridge",18
"Campbell",18
"Charlotte",18
"Dover",18
"Essex",18
"Fairview",18
"Helena",18
"King",18
"Mitchell",18
"Orleans",18
"Providence",18
"Sheridan",18
"Sullivan",18
"Upper",18
"Wood",18
"Wyoming",18
"Bluff",17
"Caldwell",17
"Camp",17
"Carson",17
"Clayton",17
"Crystal",17
"Deer",17
"Delaware",17
"Hall",17
"Highlands",17
"Hot",17
"Middletown",17
"Mission",17
"Morris",17
"Paul",17
"Sherman",17
"Wilson",17
"Baldwin",16
"Bradford",16
"Canyon",16
"Carmel",16
"Chicago",16
"Clair",16
"Custer",16
"Del",16
"Grande",16
"Hardin",16
"Lauderdale",16
"London",16
"Mesa",16
"Milton",16
"Oaks",16
"Pierce",16
"Seneca",16
"Smith",16
"Stone",16
"Texas",16
"Trenton",16
"Willow",16
"Woods",16
"Boston",15
"Bridgeport",15
"Chatham",15
"Concord",15
"Conway",15
"Cove",15
"Covington",15
"DeKalb",15
"Dodge",15
"Durham",15
"Erie",15
"Fayetteville",15
"Glenwood",15
"Golden",15
"Great",15
"Iowa",15
"Iron",15
"Jamestown",15
"Lakewood",15
"Mineral",15
"Montrose",15
"Newark",15
"Ocean",15
"Paris",15
"Portage",15
"Princeton",15
"Regional",15
"Roanoke",15
"Shores",15
"Spencer",15
"Twin",15
"Virginia",15
"Wichita",15
"Angeles",14
"Area",14
"Austin",14
"Bloomington",14
"Brook",14
"Buren",14
"Floyd",14
"Frankfort",14
"Gardens",14
"Harrisburg",14
"Hillsboro",14
"Holly",14
"Independence",14
"John",14
"Jones",14
"Joseph",14
"Kansas",14
"Lansing",14
"Le",14
"Mansfield",14
"Maple",14
"Moines",14
"Monticello",14
"Paso",14
"Ranch",14
"Russell",14
"Sandy",14
"Sun",14
"Wells",14
"Weston",14
"Winchester",14
"Worth",14
"Andover",13
"Atlanta",13
"Belle",13
"Bellevue",13
"Bethel",13
"Blaine",13
"Brownsville",13
"Buena",13
"Business",13
"Cameron",13
"Clarke",13
"Colfax",13
"Denver",13
"Edwards",13
"Eureka",13
"Fountain",13
"Graham",13
"IL",13
"Indian",13
"Juan",13
"Medford",13
"Mill",13
"Murray",13
"OH",13
"Ontario",13
"Osceola",13
"Ottawa",13
