"","x"
"1","s"
"2","purchase"
"3","pos"
"4","pin"
"5","terminal"
"6","of"
"7","merchant"
"8","seq"
"9","date"
"10","to"
"11","visa"
"12","ok"
"13","card"
"14","signature"
"15","from"
"16","withdrawal"
"17","with"
"18","pm"
"19","a"
"20","reward"
"21","ve"
"22","ks"
"23","bill"
"24","null"
"25","l"
"26","check"
"27","at"
"28","pay"
"29","paid"
"30","electronic"
"31","number"
"32","c"
"33","penn"
"34","amp"
"35","er"
"36","fl"
"37","in"
"38","soon"
"39","earn"
"40","rewards"
"41","tn"
"42","transaction"
"43","az"
"44","no"
"45","by"
"46","com"
"47","norman"
"48","tx"
"49","d"
"50","pe"
"51","al"
"52","ma"
"53","w"
"54","cc"
"55","co"
"56","ga"
"57","nc"
"58","nn"
"59","am"
"60","ca"
"61","e"
"62","ia"
"63","id"
"64","ms"
"65","on"
"66","wichita"
"67","des"
"68","k"
"69","store"
"70","more"
"71","nt"
"72","oklahoma"
"73","payment"
"74","shop"
"75","the"
"76","town"
"77","your"
"78","an"
"79","back"
"80","cash"
"81","gem"
"82","la"
"83","le"
"84","long"
"85","mary"
"86","mo"
"87","offer"
"88","phoenix"
"89","sa"
"90","valid"
"91","view"
"92","west"
"93","you"
"94","amount"
"95","as"
"96","columbus"
"97","credit"
"98","due"
"99","earned"
"100","federal"
"101","for"
"102","il"
"103","ky"
"104","land"
"105","oh"
"106","only"
"107","pa"
"108","san"
"109","sp"
"110","union"
"111","when"
"112","wood"
"113","xxx"
"114","b"
"115","be"
"116","can"
"117","char"
"118","colorado"
"119","cool"
"120","del"
"121","eligible"
"122","f"
"123","fa"
"124","gate"
"125","gr"
"126","h"
"127","houston"
"128","lake"
"129","lexington"
"130","nm"
"131","nv"
"132","online"
"133","or"
"134","rt"
"135","semi"
"136","something"
"137","st"
"138","tampa"
"139","wi"
"140","wire"
"141","all"
"142","and"
"143","any"
"144","ar"
"145","arlington"
"146","bank"
"147","barry"
"148","beach"
"149","beauty"
"150","bi"
"151","branch"
"152","ch"
"153","children"
"154","ci"
"155","combined"
"156","come"
"157","create"
"158","ct"
"159","dennis"
"160","ea"
"161","east"
"162","en"
"163","every"
"164","expires"
"165","fee"
"166","find"
"167","fort"
"168","giving"
"169","gras"
"170","ingredients"
"171","ion"
"172","is"
"173","jewelry"
"174","june"
"175","lasting"
"176","lip"
"177","lo"
"178","m"
"179","made"
"180","maximum"
"181","memory"
"182","memphis"
"183","men"
"184","n"
"185","nashville"
"186","natural"
"187","ne"
"188","near"
"189","occurred"
"190","one"
"191","out"
"192","p"
"193","par"
"194","parks"
"195","pi"
"196","pk"
"197","pl"
"198","process"
"199","processing"
"200","products"
"201","purchased"
"202","purchases"
"203","quality"
"204","r"
"205","reached"
"206","ro"
"207","santa"
"208","sc"
"209","sh"
"210","spanish"
"211","special"
"212","spend"
"213","sq"
"214","sticks"
"215","they"
"216","through"
"217","time"
"218","today"
"219","total"
"220","transfer"
"221","treasure"
"222","truly"
"223","until"
"224","up"
"225","us"
"226","variety"
"227","vegas"
"228","way"
"229","wells"
"230","wide"
"231","will"
"232","wolf"
"233","women"
"234","years"
"235","DILLARDS"
"236","XXXXX"
"237","XXXXXXXXXXXXXXXX"
"238","PURCHASE"
"239","TX"
"240","S"
"241","DILLARD"
"242","CHECKCARD"
"243","FL"
"244","POS"
"245","CO"
"246","SAN"
"247","EPAY"
"248","DIL"
"249","ANTONIO"
"250","XXXXXXX"
"251","GA"
"252","C"
"253","ONLINE"
"254","PMT"
"255","REF"
"256","CC"
"257","LA"
"258","FOR"
"259","TN"
"260","AZ"
"261","Dillards"
"262","KILLEEN"
"263","CARD"
"264","CHECK"
"265","OH"
"266","Debit"
"267","XXX"
"268","AL"
"269","POSXXXXX"
"270","Purchase"
"271","N"
"272","OK"
"273","CA"
"274","DEBIT"
"275","PIN"
"276","POSXXXXXXXX"
"277","DUAL"
"278","AR"
"279","KY"
"280","VA"
"281","XXXXXXXXXXXXXXX"
"282","ACH"
"283","P"
"284","COLORADO"
"285","PARK"
"286","NO"
"287","CHECKPAYMT"
"288","EL"
"289","KS"
"290","CHK"
"291","XXXXXXXXX"
"292","PASO"
"293","NC"
"294","NM"
"295","Amx"
"296","T"
"297","AMX"
"298","D"
"299","XXXX"
"300","CKFXXXXXXXXXPOS"
"301","CLARKSVILLE"
"302","WEBSINGLE"
"303","SC"
"304","Card"
"305","MO"
"306","M"
"307","NORTH"
"308","TUCSON"
"309","LOUISVILLE"
"310","COLUMBUS"
"311","ST"
"312","XXXXXX"
"313","CITY"
"314","MANHATTAN"
"315","HOUSTON"
"316","XXXXXXXXXXXXXXXXX"
"317","LITTLE"
"318","OKLAHOMA"
"319","WICHITA"
"320","MALL"
"321","MS"
"322","SIERRA"
"323","CINCINNATI"
"324","AUSTIN"
"325","LAWTON"
"326","JACKSONVILLE"
"327","CIT"
"328","AUGUSTA"
"329","BRANDON"
"330","NV"
"331","LAS"
"332","THE"
"333","SPR"
"334","FORT"
"335","MAL"
"336","DILTELPAY"
"337","ABILENE"
"338","DDS"
"339","PANAMA"
"340","CEDAR"
"341","STAR"
"342","ATLANTA"
"343","PENSACOLA"
"344","B"
"345","TEMPLE"
"346","CANTERA"
"347","SAVANNAH"
"348","PAR"
"349","VISTA"
"350","ID"
"351","MONTGOMERY"
"352","CLOVIS"
"353","ALBUQUERQUE"
"354","MA"
"355","PYMT"
"356","NORFOLK"
"357","SPG"
"358","FAIRVIEW"
"359","WORTH"
"360","TDEBIT"
"361","MARY"
"362","HUNTSVILLE"
"363","GLENDALE"
"364","IN"
"365","LUBBOCK"
"366","COLUMBIA"
"367","W"
"368","Check"
"369","ROCK"
"370","BOSSIER"
"371","BEACH"
"372","Payment"
"373","WACO"
"374","CORPUS"
"375","DALLAS"
"376","ANGELO"
"377","H"
"378","MOBILE"
"379","ODESSA"
"380","ESTER"
"381","VEGAS"
"382","OAK"
"383","Visa"
"384","PLANO"
"385","RICHMOND"
"386","GOVNOR"
"387","MIDLAND"
"388","CITADEL"
"389","PEACHTREE"
"390","HURST"
"391","NORMAN"
"392","LAKE"
"393","NEWPORT"
"394","NEWS"
"395","A"
"396","OF"
"397","BATON"
"398","ARLINGTON"
"399","R"
"400","LITTLETON"
"401","BEACHWOOD"
"402","FRISCO"
"403","TULSA"
"404","TAMPA"
"405","CHARLESTON"
"406","F"
"407","ROUGE"
"408","ROC"
"409","G"
"410","CT"
"411","SANTA"
"412","I"
"413","FALL"
"414","NASHVILLE"
"415","WOODLANDS"
"416","ROLLING"
"417","CHAPEL"
"418","CHARLOTTE"
"419","HILL"
"420","HIL"
"421","CRUCES"
"422","L"
"423","CHRST"
"424","INTERNATIONA"
"425","ORANGE"
"426","ROSA"
"427","TOWNE"
"428","CRESTVIEW"
