|LOCATION|DESCRIPTION_UNMASKED
0|('Foristell', 'MO')|41 FASTLANE              FORISTELL    MO 
1||AAFES AVIANO SHOP 4 SE   APO          AE 
2||7-ELEVEN 26941 00072WOODBRIDGE  420271230 7 703-878-7674 
3|('Dallas', 'TX')|AA CTR-CONCES 10133056   DALLAS       TX 
4|('Austin', 'TX')|ITUNES MUSIC STORE ITUNESAUSTIN       TX 
5||CVSPHARMACY #5194 Q03 FORT WALTON B FL 
6|('Gulfport', 'MS')|PETSMART INC 633         GULFPORT     MS 
7|('Bolingbrook', 'IL')|CVS PHARMACY #7168 Q03   BOLINGBROOK  IL 
8|('Plover', 'WI')|WAL-MART #1828           PLOVER       WI 
9||ACADEMY SPORTS #46       SELMA        TX 
10|('Norman', 'OK')|SAMSCLUB #4761           NORMAN       OK 
11|('Austin', 'TX')|ITUNES MUSIC STORE ITUNESAUSTIN       TX 
12|('Lebanon', 'OH')|ACAPULCO #10             LEBANON      OH 
13|('Pittsburgh', 'PA')|KOHL'S #0293             PITTSBURGH   PA 
14|('Canton', 'GA')|KROGER #408              CANTON       GA 
15|('Somersworth', 'NH')|WAL-MART #1749           SOMERSWORTH  NH 
16|('Lake Oswego', 'OR')|ALBERTSONS #521          LAKE OSWEGO  OR 
17|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
18|('Port Saint Lucie', 'FL')|MCDONALD'S M4270 OF      PORT ST LUCIEFL 
19|('San Antonio', 'TX')|USAA FSB-OVERDRAFT       SAN ANTONIO  TX 
20|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
21|('Rock Hill', 'SC')|ANNAS LINENS 600         ROCK HILL    SC 
22||ANTHONYS COAL FIRED PI   PEMBROKE PINEFL 
23|('Spring', 'TX')|ANTHROPOLOGIE #453       SPRING       TX 
24|('Plattsburgh', 'NY')|MCDONALD'S F1605         PLATTSBURGH  NY 
25|('Brookline', 'MA')|CVS PHARMACY #1212 Q03   BROOKLINE    MA 
26|('Covington', 'GA')|APPLEBEE'S #32           COVINGTON    GA 
27|('Denver', 'CO')|AQUARIUM DENVER OCN JR   DENVER       CO 
28|('Canton', 'MI')|ARBYS 7524    00075242   CANTON       MI 
29||ARM ASSOCIATES L P       281-5060831  TX 
30|('Flushing', 'NY')|ARONS KISSENA FARM       FLUSHING     NY 
31|('Sumter', 'SC')|ASHLEY FURN HOME STORE   SUMTER       SC 
32||AT&T TLG GLF             08003310500  GA 
33|('Atlanta', 'GA')|ATL AIRPORT S PLZ EXPR   ATLANTA      GA 
34|('San Antonio', 'TX')|USAA FSB-OVERDRAFT       SAN ANTONIO  TX 
35||AUDIO ELECTRONICS   INDIANANPOL 66380006    317-253-2495 
36|('Anchorage', 'AK')|AVIS RENT A CAR #2       ANCHORAGE    AK 
37|('Knoxville', 'TN')|BABIES R US #8863  QPS   KNOXVILLE    TN 
38|('East Providence', 'RI')|BALTIMORE GARAGE         PROVIDENCE   RI 
39|('San Diego', 'CA')|BARNES & NOBLE #1978     SAN DIEGO    CA 
40|('Vero Beach', 'FL')|CVSPHARMACY #3429  Q03   VERO BEACH   FL 
41|('Columbia', 'MO')|BARNES & NOBLE #2074     COLUMBIA     MO 
42|('Santa Monica', 'CA')|BARNES & NOBLE #2575     SANTA MONICA CA 
43|('Williston', 'ND')|WAL-MART #1565           WILLISTON    ND 
44|('Kensington', 'MD')|BARWOOD TAXI             KENSINGTON   MD 
45|('Pearl', 'MS')|BASS PRO SHOPS STORE 35  PEARL        MS 
46||BEALLS-DEPT-STORE #0TAMPA       43573138    9417472355 
47|('Houston', 'TX')|BELDEN'S                 HOUSTON      TX 
48|('Lees Summit', 'MO')|BEST BUY      00003707   LEES SUMMIT  MO 
49|('New York City', 'NY')|BEST BUY      00008359   NEW YORK     NY 
50|('Dublin', 'CA')|BEST BUY CO    134       DUBLIN       CA 
51||BEST BUY MHT  00004200   VIRGINIA BEACVA 
52|('Orlando', 'FL')|BIG LOTS #05091 BIG LOTS ORLANDO      FL 
53|('Orange Park', 'FL')|BLOCKBUSTEREXPRESS       ORANGE PARK  FL 
54||BOBALICIOUS LLC          MECHANICSVILLVA 
55|('Barrington', 'IL')|BOLONEY'S SANDWICH SHO   BARRINGTON   IL 
56|('Murrysville', 'PA')|BORDERBROOK ANML HOSP    MURRYSVILLE  PA 
57|('Omaha', 'NE')|BORSHEIMS                OMAHA        NE 
58|('La Vista', 'NE')|BUCKY'S EXPRES #73 QPS   LA VISTA     NE 
59|('Lincoln', 'NE')|C BERRYS                 LINCOLN      NE 
60|('San Antonio', 'TX')|USAA FSB-OVERDRAFT       SAN ANTONIO  TX 
61|('Seal Beach', 'CA')|CALIFORNIA PIZZA 290     SEAL BEACH   CA 
62|('Hampton', 'VA')|MCDONALD'S F1796         HAMPTON      VA 
63|('Detroit', 'MI')|CARIBOU COFFEE 10 Q86    DETROIT      MI 
64||CARIBOU COFFEE#1223      EAGAN        MN 
65|('Ann Arbor', 'MI')|CARPENTER BROS HAR       ANN ARBOR    MI 
66|('Johnson Creek', 'WI')|CARTER'S #751            JOHNSON CREEKWI 
67|('Philadelphia', 'PA')|CH WOMENHEALTH ASSOCIA   PHILADELPHIA PA 
68|('Columbus', 'GA')|CHARLOTTE RUSSE 331      COLUMBUS     GA 
69|('Chatham', 'MA')|CHATHAM VILLAGE MARK     CHATHAM      MA 
70|('Independence', 'MO')|CHICK-FIL-A #02258       INDEPENDENCE MO 
71|('West Columbia', 'SC')|CHICK-FIL-A #02289       WEST COLUMBIASC 
72|('Winter Park', 'FL')|CHIPOTLE 0360            WINTER PARK  FL 
73||WAL-MART #0919           FT WALTON BE FL 
74|('Jacksonville', 'FL')|CHRISTS CHURCH           JACKSONVILLE FL 
75|('Grand Rapids', 'MI')|CINCO DE MAYO            GRAND RAPIDS MI 
76||COMFORT INN&SUITES HOT   GREAT BARINGTMA 
77|('Alexandria', 'LA')|COMFORT SUITES           ALEXANDRIA   LA 
78|('San Antonio', 'TX')|CONVENIENCE CHECK 4541   SAN ANTONIO  TX 
79|('Helena', 'MT')|COSTCO WHSE #0633 0000000HELENA       MT 
80|('San Antonio', 'TX')|COSTCO WHSE #0689 0000000SAN ANTONIO  TX 
81|('Philadelphia', 'PA')|DAFFY'S #401             PHILADELPHIA PA 
82|('Santa Monica', 'CA')|DAVID DEANGELO COMMUNI   SANTA MONICA CA 
83|('New Market', 'MD')|DD/BR #340769      Q35   NEW MARKET   MD 
84||DIAMONDS INTL 755        CABO SAN LUCAMX 
85|('Thatcher', 'AZ')|DOC'S                    THATCHER     AZ 
86|('Baltimore', 'MD')|DOUGHERTY'S PUB          BALTIMORE    MD 
87|('Concord', 'NC')|EAGLE GUNS & RANGE       CONCORD      NC 
88||EAST COOPER BAPTIST CHURC843-8563222  SC 
89|('Temecula', 'CA')|EDWARDS TEMECULA STDM    TEMECULA     CA 
90||E-MEALZ                  02054015340  AL 
91|('Asheville', 'NC')|ENMARK ASHVILLE 84Q77    ASHEVILLE    NC 
92|('Watertown', 'NY')|ENTERPRISE RENT-A-CAR    WATERTOWN    NY 
93|('Frisco', 'TX')|ENVISION IMAGING OF FR   FRISCO       TX 
94||EUREST AT GAO 11219441   WASHINGTON   DC 
95||EXCHANGE CATALOG/ONLIN   08005823289  TX 
96|('Ennis', 'MT')|EXXONMOBIL    45944048   ENNIS        MT 
97|('Roy', 'UT')|EXXONMOBIL    47305297   ROY          UT 
98|('Murfreesboro', 'TN')|EXXONMOBIL    47882618   MURFREESBORO TN 
99|('Danbury', 'CT')|FABRIC TREE              DANBURY      CT 
100|('Big Bear Lake', 'CA')|FIRESIDE LODGE           BIG BEAR LAKECA 
101|('Desoto', 'TX')|FIRESTONE     00219972   DE SOTO      TX 
102|('Des Moines', 'IA')|FONG'S PIZZA             DES MOINES   IA 
103|('Kailua', 'HI')|FOODLAND KAILUA          KAILUA       HI 
104|('Philadelphia', 'PA')|CVS PHARMACY #2222 Q03   PHILADELPHIA PA 
105|('Monterey', 'CA')|FOREVER 21 #3533         MONTEREY     CA 
106|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
107||FRESH MKT-014 SPA 
108|('San Diego', 'CA')|FRESH MXN FOOD - ROSE    SAN DIEGO    CA 
109|('Albuquerque', 'NM')|FRGNC                    ALBUQUERQUE  NM 
110|('Tucson', 'AZ')|FRYS-FOOD-DRG #137       TUCSON       AZ 
111|('Marana', 'AZ')|FRYS-FUEL #7689          MARANA       AZ 
112||FT BELVOIR SHOP/CLASFORT BELVOI 36509696   GOVERNMENT SERVICE 
113||FT LAUD P PARKING METE   FT LAUDERDALEFL 
114|('Mc Kinney', 'TX')|FUZZYS TACO SHOP         MCKINNEY     TX 
115|('Tucson', 'AZ')|GO! CALENDARS            TUCSON       AZ 
116|('North Las Vegas', 'NV')|GRIP PHONE PROTECTION    LAS VEGAS    NV 
117|('Williamsburg', 'VA')|GUESS #3156              WILLIAMSBURG VA 
118||HAVEN IN PARIS           978-4059420  MA 
119|('San Antonio', 'TX')|USAA FSB-OVERDRAFT       SAN ANTONIO  TX 
120|('Allentown', 'PA')|HESS 38363               ALLENTOWN    PA 
121|('San Antonio', 'TX')|HOBBY-LOBBY #0123        SAN ANTONIO  TX 
122|('Conway', 'AR')|HOLIDAY INN EXPRESS &    CONWAY       AR 
