row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
8|242661000053360|Rockport|TX|78382||US|SQ *KINDLE COMPUTER WORKSRockport     TX|SQ *KINDLE COMPUTER WORKS|8999
9|395700024000|866-6614211|NY|10104||US|WMA*US WKLY MAGAZINE     866-6614211  NY|WMA*US WKLY MAGAZINE|5968
14|456201229998|KANSAS CITY|MO|64134||US|BURGER KING #17318       KANSAS CITY  MO|BURGER KING #17318|5814
18|07-9117708660|SAN MARCOS|CA|92078||US|EDWARDS SAN MARCOS SDM 18SAN MARCOS   CA|EDWARDS SAN MARCOS SDM 18|7832
25|008788242849235|DENVER|CO|80222||US|MOORE CLEANERS           DENVER       CO|MOORE CLEANERS|7216
51|216264000053360|Woodbridge|VA|22192||US|STARBUCKS #08773 WOODBRIDWoodbridge   VA|STARBUCKS #08773 WOODBRID|5814
58|535723301170652|LIVINGSTON|NJ|7039||US|SHOPRITE LIVINGSTON S1   LIVINGSTON   NJ|SHOPRITE LIVINGSTON S1|5411
88|422369360114154|949-699-2532|CA|92691||US|THE DRY CLEANING GUY     949-699-2532 CA|THE DRY CLEANING GUY|7216
119|041800023400419|ANCHORAGE|AK|99507||US|USPS 02032495523400419   ANCHORAGE    AK|USPS 02032495523400419|9402
127|19-8009977607|DES PERES|MO|63131||US|ARAMARK EDWARD JONES AND DES PERES    MO|ARAMARK EDWARD JONES AND|5814
130|372002038886|PALM BAY|FL|32907||US|ARBYS 0269               PALM BAY     FL|ARBYS 0269|5814
148|4445000622290|SAN FRANCISCO|CA|94107||US|WHOLEFDS PTH 10238       SAN FRANCISCOCA|WHOLEFDS PTH 10238|5411
168|216264000053360|Harbor City|CA|90710||US|STARBUCKS #20680 HARBOR CHarbor City  CA|STARBUCKS #20680 HARBOR C|5814
171|533000001158530|209-372-1245|CA|95389||US|YOSEMITE RESERVATIONS    209-372-1245 CA|YOSEMITE RESERVATIONS|7011
172|03844622877ICK1|COLUMBUS|MS|39705||US|CHICK-FIL-A #02877       COLUMBUS     MS|CHICK-FIL-A #02877|5814
179|041800032906414|BRISTOL|NH|3222||US|USPS 32075002232906414   BRISTOL      NH|USPS 32075002232906414|9402
185|916200595889|DOVER|NJ|7801||US|DOVER PARKING UTILITY    DOVER        NJ|DOVER PARKING UTILITY|7523
199|4445100049551|AVENTURA|FL|33180||US|WALGREENS #4955          AVENTURA     FL|WALGREENS #4955|5912
209|011100000002105|ALBUQUERQUE|NM|87102||US|LOVE S COUNTRY00002105   ALBUQUERQUE  NM|LOVE S COUNTRY00002105|5541
214|313280033884|BOCA RATON|FL|33432||US|CITY OF BOCA RATON       BOCA RATON   FL|CITY OF BOCA RATON|7523
215|4445091047365|BOCA RATON|FL|33431||US|PUBLIX #785              BOCA RATON   FL|PUBLIX #785|5411
226|07637974181MDZ1|CUTLER RIDGE|FL|33157||US|MCDONALD'S M4181 OF FL   CUTLER RIDGE FL|MCDONALD'S M4181 OF FL|5814
