row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
0||||||||JPMORGAN CHASE   |
8||||||||WF HOME MTG      |
16||||||||Dallas County    |
32||||||||RJ REYNOLDS VAPO       |
95||||||||GEICO INSURANCE       |
103||||||||ADP TX/FINCL SVC |
113||||||||ard ending in 2114|
114||||||||American Express |
143||||||||Payroll          |
160||||||||PAYPAL           |
166||||||||MB FINANCIAL     |
183||||||||American Express |
260|||||||| 4971406875 To TAYLOR, M. (_|
291||||||||ard ending in 7390|
297||||||||DIRECTV          |
301||||||||American Express |
332||||||||NEOPOST ADVANCE       |
355||||||||ard ending in 2606|
358|||||||| MMA ...4707 transaction#: 4|
389||||||||FRANCHISE TAX BO |
395||||||||ard ending in 9302|
428||||||||Bank of America  |
487||||||||CHASE            |
522||||||||DEL CONCA USA IN      |
553||||||||JPMORGAN CHASE   |
569||||||||CARDMEMBER SERV  |
574||||||||ard ending in 9937|
614|||||||| MMA ...1753 transaction#: 4|
626||||||||ard ending in 3901|
641||||||||USBANK LOAN      |
659||||||||COLDWELL BANKER  |
662||||||||ard ending in 7229|
663||||||||BP Payroll   135 |
668||||||||JPMORGAN CHASE   |
715||||||||ard ending in 1547|
716||||||||CHASE            |
721||||||||DISCOVER         |
725||||||||NJ SKYLANDS ASSC |
731||||||||CITI AUTOPAY     |
732||||||||CITIMORTGAGE INC |
757||||||||HMF              |
795|||||||| 4971211987 To Transport Exp|
852||||||||BANK OF AMERICA  |
889||||||||JPMORGAN CHASE   |
900||||||||Arbors Of Brookd |
933||||||||JPMORGAN CHASE   |
952||||||||JPMORGAN CHASE   |
969||||||||Burns & Wilcox   |
992||||||||CAPITAL ONE      |
1005||||||||  CHK ...6965 transaction#: |
1006||||||||R T G FURNITURE       |
1011||||||||The Retreat      |
1019||||||||JPMORGAN CHASE   |
1041||||||||PAYPAL           |
1063|||||||| MMA ...8385 transaction#: 4|
1069||||||||ard ending in 2288|
1158|||||||| 4969984952 To Rosalyn Tatem|
1159||||||||COLONIAL SAVINGS |
1175||||||||SELECT PORTFOLIO      |
1233||||||||NYS TAX & FINANC |
1244||||||||UnitedHealthCare |
1252||||||||AES              |
1285||||||||ard ending in 8599|
1296||||||||Bank of America  |
1309|||||||| 4970893304 To Needles Eye L|
1311||||||||ard ending in 0357|
1323||||||||Oak Glen Apartme |
1327||||||||CHASE            |
1350||||||||IRS              |
1387||||||||PAYCHEX-HRS      |
1449||||||||MERCH BANKCARD   |
1497||||||||IRS              |
1516||||||||ard ending in 7022|
1570||||||||JPMORGAN CHASE   |
1573||||||||JPMORGAN CHASE   |
1594||||||||TITLEMAX OF GEOR      |
1595||||||||JPMORGAN CHASE   |
1602||||||||ard ending in 8090|
1615||||||||CHASE            |
1664||||||||Premium Assignme |
1693||||||||77 Park Avenue   |
1701||||||||American Express |
1710||||||||ard ending in 0879|
1718||||||||QUICKEN LOANS    |
1725||||||||ard ending in 0559|
1732||||||||ard ending in 2929|
1741||||||||CITIMORTGAGE INC |
1743||||||||CITI CARD ONLINE |
1763||||||||DISCOVER BANK    |
1775||||||||IRS              |
1792||||||||AICPA INS. TRUST |
1802||||||||CHASE            |
1814||||||||JPMORGAN CHASE   |
1856||||||||ard ending in 5278|
1870||||||||COMMWLTHOFPA INT       |
1874||||||||JPMORGAN CHASE   |
1886||||||||TUITION MGMT SYS |
1899||||||||ard ending in 6133|
1926|||||||| MMA ...1765 transaction#: 4|
1928||||||||PAYCHEX-RCX            |
1944||||||||BMW BANK         |
1972||||||||IRS              |
1979||||||||IRS              |
1982||||||||ADP TX/FINCL SVC |
1984||||||||ard ending in 0827|
2005||||||||CHASE            |
2046||||||||ard ending in 6570|
2050||||||||Payroll          |
2072||||||||CAPITAL ONE      |
2090||||||||LIPA             |
2122||||||||American Express |
2137||||||||WF HOME MTG      |
2154||||||||CHASE            |
2158||||||||CITIMORTGAGE INC |
